game_id,team,opponent,team_avg_height,opp_avg_height,lineup,minutes_played,period,points,opp_points,rebounds,opp_rebounds,assists,opp_assists,turnovers,opp_turnovers,fouls_committed,fouls_drawn,game_number
22400001,BOS,ATL,78.2,78.8,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard')",2.466666666666667,4,6,7,2,1,1,2,2,0,1,0,1
22400001,BOS,ATL,79.4,79.8,"('Derrick White', 'Jayson Tatum', 'Jordan Walsh', 'Neemias Queta', 'Sam Hauser')",1.2333333333333332,2,2,2,1,0,1,0,0,0,0,0,1
22400001,BOS,ATL,77.4,79.4,"('Derrick White', 'Jordan Walsh', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard')",0.9166666666666669,2,0,0,2,1,0,0,0,0,0,0,1
22400001,BOS,ATL,79.8,79.2,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Neemias Queta')",2.316666666666667,2,8,9,2,2,2,1,1,0,1,0,1
22400001,BOS,ATL,78.2,78.8,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",2.5,2,9,5,2,2,3,2,1,2,1,1,1
22400001,BOS,ATL,77.6,78.6,"('Derrick White', 'Jordan Walsh', 'Jrue Holiday', 'Luke Kornet', 'Payton Pritchard')",2.2333333333333334,2,4,7,0,2,1,3,0,1,0,1,1
22400001,BOS,ATL,76.6,78.8,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Payton Pritchard')",0.0166666666666666,2,2,0,0,0,0,0,0,0,0,1,1
22400001,BOS,ATL,78.0,79.8,"('Jaylen Brown', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",2.8,3,2,9,1,4,0,3,1,0,0,0,1
22400001,BOS,ATL,78.2,79.8,"('Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard')",1.3833333333333335,3,2,2,1,3,0,1,0,2,0,0,1
22400001,BOS,ATL,77.6,79.2,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Payton Pritchard')",0.0,3,0,0,0,0,0,0,0,0,0,0,1
22400001,BOS,ATL,78.2,79.2,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",5.283333333333333,3,14,12,3,3,4,4,4,2,0,1,1
22400001,BOS,ATL,78.0,79.8,"('Derrick White', 'Jaylen Brown', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",2.5333333333333337,3,8,7,1,0,2,1,2,1,2,1,1
22400001,BOS,ATL,78.4,79.0,"('Derrick White', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",0.7166666666666667,4,1,2,0,2,0,1,0,0,0,1,1
22400001,BOS,ATL,79.8,78.8,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Neemias Queta')",0.0,4,0,0,0,0,0,0,0,0,0,0,1
22400001,BOS,ATL,80.0,78.8,"('Al Horford', 'Derrick White', 'Jayson Tatum', 'Neemias Queta', 'Sam Hauser')",0.7000000000000001,2,3,0,1,1,1,0,0,0,0,0,1
22400001,BOS,ATL,78.2,79.2,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",4.633333333333333,4,12,13,3,5,3,2,2,1,1,3,1
22400001,BOS,ATL,77.8,79.4,"('Al Horford', 'Derrick White', 'Jayson Tatum', 'Payton Pritchard', 'Sam Hauser')",4.183333333333333,4,6,11,2,3,2,4,2,1,1,0,1
22400001,BOS,ATL,78.2,79.4,"('Derrick White', 'Jayson Tatum', 'Jordan Walsh', 'Neemias Queta', 'Payton Pritchard')",0.0,2,0,0,0,0,0,0,0,0,0,0,1
22400001,BOS,ATL,78.8,78.4,"('Jaylen Brown', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",4.85,1,18,16,2,2,2,5,1,3,2,4,1
22400001,BOS,ATL,78.2,78.8,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",6.049999999999998,1,11,11,8,12,4,4,2,2,3,2,1
22400001,BOS,ATL,78.2,79.8,"('Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard')",1.1,1,2,2,1,0,0,1,1,0,0,1,1
22400001,BOS,ATL,79.8,78.8,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Neemias Queta')",0.0,1,0,0,0,0,0,0,0,0,0,0,1
22400001,BOS,ATL,77.8,78.6,"('Derrick White', 'Jrue Holiday', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",2.083333333333333,2,6,2,2,1,2,1,1,1,0,1,1
22400021,BOS,CLE,78.4,77.4,"('Jayson Tatum', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",2.0166666666666666,3,0,9,1,5,0,3,1,0,2,1,2
22400021,BOS,CLE,77.4,76.6,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Payton Pritchard', 'Sam Hauser')",2.9666666666666663,4,5,6,4,3,2,0,0,0,3,0,2
22400021,BOS,CLE,78.2,77.4,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard')",0.0,4,1,0,0,0,0,0,0,0,0,0,2
22400021,BOS,CLE,77.6,77.4,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Payton Pritchard')",3.2166666666666663,4,5,5,2,1,2,2,1,1,1,0,2
22400021,BOS,CLE,78.2,77.4,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",4.7833333333333306,4,13,15,4,6,2,1,2,1,4,3,2
22400021,BOS,CLE,78.0,76.6,"('Derrick White', 'Jaylen Brown', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",1.0333333333333334,4,3,3,1,1,0,1,0,0,0,2,2
22400021,BOS,CLE,78.4,77.4,"('Derrick White', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",3.0666666666666664,1,6,6,3,2,1,2,1,0,1,0,2
22400021,BOS,CLE,77.6,77.6,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Payton Pritchard')",0.0,1,0,0,0,0,0,0,0,0,0,0,2
22400021,BOS,CLE,77.6,77.6,"('Al Horford', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Payton Pritchard')",0.0,3,0,0,0,0,0,0,0,0,0,0,2
22400021,BOS,CLE,78.2,77.6,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",5.083333333333331,3,14,15,6,4,5,4,2,0,1,0,2
22400021,BOS,CLE,78.2,77.6,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",6.783333333333332,1,18,8,10,7,5,2,3,3,1,1,2
22400021,BOS,CLE,78.4,76.6,"('Jayson Tatum', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",1.4,1,2,6,0,3,1,2,0,0,2,0,2
22400021,BOS,CLE,77.4,77.2,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Payton Pritchard', 'Sam Hauser')",2.7,2,9,7,1,0,3,1,0,0,0,0,2
22400021,BOS,CLE,77.8,77.2,"('Al Horford', 'Jayson Tatum', 'Jrue Holiday', 'Payton Pritchard', 'Sam Hauser')",0.75,1,0,0,1,1,0,0,0,0,0,1,2
22400021,BOS,CLE,78.0,77.2,"('Derrick White', 'Jaylen Brown', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",3.633333333333333,2,8,9,4,3,2,3,1,0,2,2,2
22400021,BOS,CLE,78.8,77.2,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Sam Hauser')",0.0333333333333333,2,0,0,0,0,0,0,0,0,0,0,2
22400021,BOS,CLE,78.4,77.0,"('Derrick White', 'Jayson Tatum', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",3.4166666666666665,3,11,12,0,0,3,4,1,0,1,2,2
22400021,BOS,CLE,78.2,77.0,"('Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard')",1.4833333333333334,3,3,4,1,2,1,2,0,0,0,1,2
22400021,BOS,CLE,78.2,76.8,"('Al Horford', 'Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday')",5.633333333333333,2,22,12,4,3,5,3,1,2,1,2,2
22400028,BOS,WAS,78.4,79.4,"('Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Luke Kornet', 'Payton Pritchard')",0.0,3,0,0,0,0,0,0,0,0,0,0,3
22400028,BOS,WAS,77.8,79.0,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Sam Hauser')",0.9333333333333336,4,11,3,3,1,0,0,0,0,0,5,3
22400028,BOS,WAS,79.0,79.4,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Luke Kornet')",0.0,4,0,0,0,0,0,0,0,0,0,0,3
22400028,BOS,WAS,77.8,78.2,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Xavier Tillman')",5.049999999999998,4,8,9,5,4,2,2,2,0,3,1,3
22400028,BOS,WAS,79.2,79.4,"('Derrick White', 'Jayson Tatum', 'Jrue Holiday', 'Luke Kornet', 'Sam Hauser')",0.0,4,0,0,0,0,0,0,0,0,0,0,3
22400028,BOS,WAS,79.0,79.4,"('Derrick White', 'Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Luke Kornet')",5.266666666666667,3,8,8,6,3,1,2,3,2,2,3,3
22400028,BOS,WAS,78.2,79.4,"('Jaylen Brown', 'Jayson Tatum', 'Jrue Holiday', 'Neemias Queta', 'Payton Pritchard')",0.9833333333333334,3,5,4,0,0,1,2,0,0,0,1,3
22400028,BOS,WAS,78.6,79.4,"('Jaylen Brown', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser', 'Xavier Tillman')",3.5666666666666664,3,9,4,4,2,1,0,0,3,2,3,3
22400028,BOS,WAS,78.4,78.8,"('Jaylen Brown', 'Jordan Walsh', 'Neemias Queta', 'Payton Pritchard', 'Sam Hauser')",2.183333333333334,3,4,5,3,3,1,1,0,0,1,1,3
22400028,BOS,WAS,78.6,79.4,"('Derrick White', 'Jayson Tatum', 'Luke Kornet', 'Payton Pritchard', 'Sam Hauser')",6.016666666666663,4,14,12,4,6,3,2,1,4,3,2,3
