game_id,lineup,period,points,opp_points,rebounds,opp_rebounds,assists,opp_assists,turnovers,opp_turnovers,fouls_committed,fouls_drawn,team,opponent,game_number
22400017,"('Dario Šarić', 'Jamal Murray', 'Michael Porter Jr.', 'Russell Westbrook', 'Vlatko Čančar')",4,9,4,3,3,3,1,0,0,1,2,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Michael Porter Jr.', 'Peyton Watson')",1,16,10,6,6,4,2,2,4,2,1,DEN,NOP,1
22400017,"('Christian Braun', 'Jamal Murray', 'Julian Strawther', 'Peyton Watson', 'Zeke Nnaji')",1,0,7,1,5,0,0,0,0,0,0,DEN,NOP,1
22400017,"('Hunter Tyson', 'Julian Strawther', 'Michael Porter Jr.', 'Russell Westbrook', 'Zeke Nnaji')",1,0,4,0,2,0,2,0,0,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Jamal Murray', 'Michael Porter Jr.', 'Peyton Watson', 'Zeke Nnaji')",1,2,3,0,0,1,0,0,0,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Julian Strawther', 'Michael Porter Jr.', 'Russell Westbrook', 'Zeke Nnaji')",1,4,8,1,4,1,3,0,1,0,1,DEN,NOP,1
22400017,"('Christian Braun', 'Jamal Murray', 'Julian Strawther', 'Russell Westbrook', 'Zeke Nnaji')",1,0,0,0,0,0,0,0,0,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Julian Strawther', 'Michael Porter Jr.')",2,8,11,1,3,3,1,0,0,1,1,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Julian Strawther', 'Peyton Watson', 'Russell Westbrook')",2,2,0,2,0,0,0,1,0,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Jamal Murray', 'Michael Porter Jr.', 'Peyton Watson', 'Russell Westbrook')",2,12,12,2,2,3,4,1,1,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Peyton Watson', 'Russell Westbrook')",2,0,0,0,0,0,0,1,0,1,0,DEN,NOP,1
22400017,"('Dario Šarić', 'Jamal Murray', 'Julian Strawther', 'Michael Porter Jr.', 'Russell Westbrook')",2,10,4,5,3,4,0,1,1,2,0,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Michael Porter Jr.', 'Peyton Watson')",3,7,7,4,7,2,1,0,2,2,2,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Julian Strawther', 'Michael Porter Jr.')",3,6,6,3,6,1,1,0,2,1,3,DEN,NOP,1
22400017,"('Christian Braun', 'Julian Strawther', 'Peyton Watson', 'Russell Westbrook', 'Vlatko Čančar')",3,3,4,2,2,1,1,0,0,2,1,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Julian Strawther', 'Peyton Watson')",3,0,0,0,0,0,0,0,0,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Jamal Murray', 'Julian Strawther', 'Peyton Watson', 'Vlatko Čančar')",3,0,0,0,2,0,0,0,0,0,0,DEN,NOP,1
22400017,"('Jamal Murray', 'Julian Strawther', 'Peyton Watson', 'Russell Westbrook', 'Vlatko Čančar')",3,2,2,2,3,1,0,0,0,0,0,DEN,NOP,1
22400017,"('Christian Braun', 'Dario Šarić', 'Jamal Murray', 'Michael Porter Jr.', 'Peyton Watson')",4,8,9,2,4,2,2,0,1,3,0,DEN,NOP,1
