game_id,team,opponent,team_avg_height,opp_avg_height,lineup,minutes_played,period,points,opp_points,rebounds,opp_rebounds,assists,opp_assists,turnovers,opp_turnovers,fouls_committed,fouls_drawn,possessions,opp_possessions,fastbreak,from_turnover,second_chance,points_in_paint,opp_from_turnover,opp_fastbreak,opp_second_chance,opp_points_in_paint,unscaled_pace,game_number
22500028,ORL,BOS,80.0,77.8,"('Anthony Black', 'Jalen Suggs', 'Paolo Banchero', 'Tristan da Silva', 'Wendell Carter Jr.')",0.35,3,0,0,0,1,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1
22500028,ORL,BOS,79.0,77.4,"('Anthony Black', 'Franz Wagner', 'Tristan da Silva', 'Tyus Jones', 'Wendell Carter Jr.')",3.6833333333333327,4,7,11,2,3,1,2,0,0,0,4,6.44,5.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,11.44,1
22500028,ORL,BOS,80.6,76.2,"('Anthony Black', 'Desmond Bane', 'Franz Wagner', 'Paolo Banchero', 'Wendell Carter Jr.')",4.0,4,16,9,0,6,2,4,1,4,1,5,10.64,9.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,6.0,19.64,1
22500028,ORL,BOS,80.8,78.2,"('Anthony Black', 'Desmond Bane', 'Franz Wagner', 'Goga Bitadze', 'Paolo Banchero')",2.5833333333333326,4,7,2,5,3,1,0,0,1,1,1,5.88,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.88,1
22500028,ORL,BOS,80.2,78.6,"('Desmond Bane', 'Franz Wagner', 'Jalen Suggs', 'Paolo Banchero', 'Wendell Carter Jr.')",5.466666666666666,1,19,12,5,3,5,3,2,1,2,4,11.76,12.0,4.0,0.0,0.0,6.0,3.0,2.0,0.0,6.0,23.76,1
22500028,ORL,BOS,79.6,77.4,"('Anthony Black', 'Desmond Bane', 'Franz Wagner', 'Jalen Suggs', 'Paolo Banchero')",1.4833333333333334,4,9,8,2,0,1,2,0,0,2,1,3.88,7.32,0.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,11.2,1
22500028,ORL,BOS,80.2,78.2,"('Desmond Bane', 'Franz Wagner', 'Jalen Suggs', 'Paolo Banchero', 'Wendell Carter Jr.')",5.133333333333334,3,11,15,4,6,4,4,3,1,3,1,12.44,11.88,0.0,0.0,0.0,4.0,3.0,3.0,0.0,4.0,24.32,1
22500028,ORL,BOS,79.8,78.6,"('Desmond Bane', 'Jalen Suggs', 'Paolo Banchero', 'Tristan da Silva', 'Wendell Carter Jr.')",1.7,2,8,1,3,0,3,0,1,1,0,2,4.44,4.44,0.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,8.88,1
22500028,ORL,BOS,80.6,78.0,"('Anthony Black', 'Desmond Bane', 'Franz Wagner', 'Paolo Banchero', 'Wendell Carter Jr.')",4.371666666666666,2,8,10,6,3,2,2,2,1,0,2,7.88,10.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,4.0,17.88,1
22500028,ORL,BOS,79.4,79.2,"('Desmond Bane', 'Franz Wagner', 'Goga Bitadze', 'Paolo Banchero', 'Tyus Jones')",1.4166666666666663,2,0,1,2,1,0,0,2,0,1,0,3.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,1
