game_id,team,opponent,team_avg_height,opp_avg_height,lineup,minutes_played,period,points,opp_points,rebounds,opp_rebounds,assists,opp_assists,turnovers,opp_turnovers,fouls_committed,fouls_drawn,possessions,opp_possessions,game_number
22500022,TOR,CLE,78.2,78.2,"('Brandon Ingram', 'Jamal Shead', 'Jamison Battle', 'RJ Barrett', 'Sandro Mamukelashvili')",1.5333333333333332,4,9,2,2,1,2,0,0,1,0,1,3.88,3.0,1
22500022,TOR,CLE,77.6,77.4,"('Brandon Ingram', ""Ja'Kobe Walter"", 'Jamal Shead', 'Jamison Battle', 'Scottie Barnes')",1.2499999999999998,4,4,4,1,1,1,0,1,0,1,2,3.88,3.0,1
22500022,TOR,CLE,77.4,79.2,"('Collin Murray-Boyles', 'Immanuel Quickley', ""Ja'Kobe Walter"", 'RJ Barrett', 'Scottie Barnes')",1.7000000000000004,4,0,2,4,2,0,1,2,0,0,0,4.0,3.0,1
22500022,TOR,CLE,77.6,78.8,"('Immanuel Quickley', 'Jamison Battle', 'Ochai Agbaji', 'RJ Barrett', 'Scottie Barnes')",2.6900000000000004,3,12,6,4,0,4,2,0,0,0,2,6.44,6.0,1
22500022,TOR,CLE,78.2,77.8,"('Brandon Ingram', 'Immanuel Quickley', 'Jamison Battle', 'Ochai Agbaji', 'Sandro Mamukelashvili')",0.7000000000000001,3,4,2,0,0,0,0,0,1,1,0,2.88,1.88,1
22500022,TOR,CLE,78.6,79.6,"('Brandon Ingram', 'Immanuel Quickley', 'RJ Barrett', 'Sandro Mamukelashvili', 'Scottie Barnes')",0.5416666666666667,2,0,3,0,1,0,0,0,0,0,0,1.0,1.0,1
22500022,TOR,CLE,78.2,77.4,"('Gradey Dick', 'Immanuel Quickley', 'Ochai Agbaji', 'Sandro Mamukelashvili', 'Scottie Barnes')",1.7666666666666666,1,4,1,2,0,1,0,1,0,1,0,3.0,4.44,1
22500022,TOR,CLE,78.0,77.4,"('Gradey Dick', 'Jamal Shead', 'Ochai Agbaji', 'Sandro Mamukelashvili', 'Scottie Barnes')",0.9166666666666669,1,3,3,0,0,1,0,0,0,1,0,1.0,2.0,1
22500022,TOR,CLE,77.6,77.8,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', 'Ochai Agbaji', 'RJ Barrett')",0.6166666666666667,1,3,1,0,0,1,0,0,0,1,0,1.0,0.44,1
22500022,TOR,CLE,78.2,79.6,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', 'RJ Barrett', 'Scottie Barnes')",4.999999999999998,1,11,13,3,7,3,4,0,2,2,0,9.0,9.88,1
22500022,TOR,CLE,77.4,77.8,"('Brandon Ingram', 'Collin Murray-Boyles', 'Jamal Shead', 'Ochai Agbaji', 'RJ Barrett')",1.8833333333333333,1,6,4,3,0,1,1,0,0,0,0,3.0,3.44,1
22500022,TOR,CLE,77.8,77.4,"('Brandon Ingram', 'Jamal Shead', 'Ochai Agbaji', 'RJ Barrett', 'Sandro Mamukelashvili')",1.5166666666666666,1,3,0,2,1,1,0,3,2,0,1,4.44,5.0,1
22500022,TOR,CLE,78.0,77.8,"('Brandon Ingram', 'Jamal Shead', 'Jamison Battle', 'Ochai Agbaji', 'Sandro Mamukelashvili')",2.666666666666667,3,11,5,2,1,4,1,2,2,3,2,6.0,6.88,1
22500022,TOR,CLE,78.2,79.6,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', 'RJ Barrett', 'Scottie Barnes')",1.7666666666666666,3,0,9,0,2,0,2,2,0,1,0,4.0,3.88,1
22500022,TOR,CLE,78.4,79.6,"('Brandon Ingram', 'Jamal Shead', 'RJ Barrett', 'Sandro Mamukelashvili', 'Scottie Barnes')",4.000000000000001,3,6,12,4,4,0,3,2,0,1,1,9.44,9.44,1
22500022,TOR,CLE,78.2,79.6,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', 'RJ Barrett', 'Scottie Barnes')",0.9866666666666666,2,0,2,1,1,0,0,0,1,0,0,2.0,3.0,1
22500022,TOR,CLE,77.2,77.2,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', ""Ja'Kobe Walter"", 'Ochai Agbaji')",2.266666666666667,2,2,2,3,4,1,1,1,0,0,0,5.0,4.0,1
22500022,TOR,CLE,78.4,78.6,"('Gradey Dick', 'Immanuel Quickley', 'RJ Barrett', 'Sandro Mamukelashvili', 'Scottie Barnes')",2.5166666666666666,2,7,5,0,2,2,2,0,1,0,2,4.88,4.0,1
22500022,TOR,CLE,78.0,79.6,"('Brandon Ingram', 'Collin Murray-Boyles', 'Jamal Shead', 'RJ Barrett', 'Scottie Barnes')",2.85,2,6,3,5,2,0,1,0,0,2,2,5.76,5.0,1
22500022,TOR,CLE,77.8,78.6,"('Immanuel Quickley', ""Ja'Kobe Walter"", 'RJ Barrett', 'Sandro Mamukelashvili', 'Scottie Barnes')",1.4833333333333332,2,3,3,2,3,1,1,0,1,0,0,4.0,4.0,1
22500022,TOR,CLE,77.0,78.6,"('Brandon Ingram', 'Collin Murray-Boyles', ""Ja'Kobe Walter"", 'Jamal Shead', 'Ochai Agbaji')",1.15,2,0,3,3,2,0,1,0,0,0,0,2.0,3.0,1
22500022,TOR,CLE,77.8,77.4,"('Brandon Ingram', ""Ja'Kobe Walter"", 'Jamal Shead', 'Jamison Battle', 'Sandro Mamukelashvili')",0.7333333333333334,4,1,2,2,1,0,1,0,0,1,1,0.44,2.0,1
22500022,TOR,CLE,78.0,79.2,"('Brandon Ingram', 'Jamal Shead', 'Jamison Battle', 'RJ Barrett', 'Scottie Barnes')",1.1333333333333333,4,3,1,1,2,1,0,0,1,1,0,2.44,2.44,1
22500022,TOR,CLE,77.2,78.2,"('Collin Murray-Boyles', ""Ja'Kobe Walter"", 'Jamal Shead', 'RJ Barrett', 'Scottie Barnes')",1.0833333333333333,4,0,5,1,0,0,1,1,0,1,0,3.0,3.44,1
22500022,TOR,CLE,78.2,79.6,"('Brandon Ingram', 'Immanuel Quickley', 'Jamison Battle', 'RJ Barrett', 'Scottie Barnes')",4.078333333333333,4,14,8,3,5,3,2,1,1,1,1,8.88,8.44,1
22500030,TOR,ATL,78.0,80.0,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', ""Ja'Kobe Walter"", 'Sandro Mamukelashvili')",2.6,2,1,4,1,5,0,2,0,3,0,1,5.44,5.0,2
22500030,TOR,ATL,79.0,80.4,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', 'Jakob Poeltl', 'RJ Barrett')",0.4316666666666667,2,1,0,0,0,0,0,1,1,0,0,1.44,2.0,2
22500030,TOR,ATL,78.2,80.4,"('Brandon Ingram', 'Immanuel Quickley', 'Jamison Battle', 'RJ Barrett', 'Scottie Barnes')",2.0666666666666664,4,4,5,3,1,1,2,2,1,0,0,5.0,5.0,2
22500030,TOR,ATL,77.6,80.0,"('Collin Murray-Boyles', 'Immanuel Quickley', ""Ja'Kobe Walter"", 'RJ Barrett', 'Sandro Mamukelashvili')",0.5333333333333333,2,1,0,1,1,0,0,0,1,0,1,1.44,2.0,2
22500030,TOR,ATL,79.2,79.4,"('Brandon Ingram', 'Immanuel Quickley', 'Jakob Poeltl', 'RJ Barrett', 'Scottie Barnes')",3.856666666666668,4,18,11,7,2,3,2,0,0,4,3,12.2,12.08,2
22500030,TOR,ATL,79.0,80.0,"('Immanuel Quickley', 'Jakob Poeltl', 'Jamison Battle', 'RJ Barrett', 'Scottie Barnes')",0.7333333333333334,4,3,0,1,1,0,0,0,0,0,0,1.44,1.0,2
22500030,TOR,ATL,79.0,80.4,"('Gradey Dick', 'Jakob Poeltl', 'Jamal Shead', 'Jamison Battle', 'Scottie Barnes')",0.9,4,4,2,1,0,1,1,0,0,0,1,1.44,2.0,2
22500030,TOR,ATL,77.8,80.4,"('Immanuel Quickley', ""Ja'Kobe Walter"", 'RJ Barrett', 'Sandro Mamukelashvili', 'Scottie Barnes')",0.9833333333333332,2,1,0,1,2,0,0,0,0,1,1,2.44,2.0,2
22500030,TOR,ATL,78.2,80.4,"('Brandon Ingram', 'Collin Murray-Boyles', 'Jamal Shead', 'RJ Barrett', 'Sandro Mamukelashvili')",0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2
22500030,TOR,ATL,78.4,81.2,"('Brandon Ingram', 'Collin Murray-Boyles', 'Immanuel Quickley', 'RJ Barrett', 'Sandro Mamukelashvili')",0.2,2,1,0,0,0,0,0,0,1,0,0,0.44,1.0,2
22500030,TOR,ATL,79.0,80.4,"('Brandon Ingram', 'Immanuel Quickley', 'Jakob Poeltl', 'Jamison Battle', 'RJ Barrett')",1.5,4,5,0,2,1,1,0,0,1,2,3,2.88,3.0,2
22500030,TOR,ATL,78.6,80.4,"('Brandon Ingram', 'Immanuel Quickley', 'RJ Barrett', 'Sandro Mamukelashvili', 'Scottie Barnes')",2.35,1,6,5,3,3,2,1,0,0,0,0,5.44,6.0,2
22500030,TOR,ATL,78.4,79.8,"('Collin Murray-Boyles', 'Gradey Dick', 'Jamal Shead', 'Sandro Mamukelashvili', 'Scottie Barnes')",1.9883333333333328,1,2,4,3,3,0,0,1,1,1,0,4.0,4.88,2
22500030,TOR,ATL,78.4,79.8,"('Brandon Ingram', 'Collin Murray-Boyles', 'Gradey Dick', 'Jamal Shead', 'Sandro Mamukelashvili')",2.6333333333333333,1,8,5,3,2,2,1,1,1,2,0,6.0,6.32,2
