game_id,team,opponent,team_avg_height,opp_avg_height,lineup,minutes_played,period,points,opp_points,rebounds,opp_rebounds,assists,opp_assists,turnovers,opp_turnovers,fouls_committed,fouls_drawn,game_number
22400006,UTA,PHX,78.8,77.2,"('Brice Sensabaugh', 'Isaiah Collier', 'Jordan Clarkson', 'Kyle Filipowski', 'Lauri Markkanen')",5.166666666666666,2,11,16,4,4,3,3,2,1,1,1,1
22400006,UTA,PHX,77.8,77.4,"('Collin Sexton', 'Isaiah Collier', 'John Collins', 'Jordan Clarkson', 'Kyle Filipowski')",0.35,4,0,0,0,0,0,0,0,0,0,1,1
22400006,UTA,PHX,77.0,77.2,"('Collin Sexton', 'Isaiah Collier', 'Johnny Juzang', 'Jordan Clarkson', 'Kyle Filipowski')",0.0,4,0,0,0,0,0,0,0,0,0,0,1
22400006,UTA,PHX,78.6,77.4,"('Brice Sensabaugh', 'Collin Sexton', 'John Collins', 'Keyonte George', 'Lauri Markkanen')",0.0,4,0,0,0,0,0,0,0,0,0,0,1
22400006,UTA,PHX,78.8,77.2,"('Isaiah Collier', 'Johnny Juzang', 'Jordan Clarkson', 'Kyle Filipowski', 'Lauri Markkanen')",2.9666666666666663,4,4,9,1,2,2,0,1,0,0,0,1
22400006,UTA,PHX,78.4,77.4,"('Brice Sensabaugh', 'Collin Sexton', 'John Collins', 'Keyonte George', 'Kyle Filipowski')",2.683333333333333,4,8,6,2,2,2,1,0,0,0,2,1
22400006,UTA,PHX,78.2,77.4,"('Collin Sexton', 'John Collins', 'Jordan Clarkson', 'Keyonte George', 'Lauri Markkanen')",5.999999999999997,4,21,18,7,5,3,4,2,1,6,1,1
22400006,UTA,PHX,78.2,78.0,"('Isaiah Collier', 'John Collins', 'Johnny Juzang', 'Jordan Clarkson', 'Kyle Filipowski')",0.9833333333333334,3,2,2,0,1,1,0,0,0,1,0,1
22400006,UTA,PHX,78.6,78.2,"('Collin Sexton', 'John Collins', 'Johnny Juzang', 'Keyonte George', 'Lauri Markkanen')",0.0,3,0,0,0,0,0,0,0,0,0,0,1
22400006,UTA,PHX,78.4,78.2,"('Collin Sexton', 'John Collins', 'Johnny Juzang', 'Keyonte George', 'Kyle Filipowski')",1.1666666666666667,3,2,2,2,0,0,1,0,0,1,1,1
