player_id,first_name,last_name,full_name,team_abbreviation
1642964,Brooks,Barnhizer,Brooks Barnhizer,OKC
1642959,Chris,Youngblood,Chris Youngblood,OKC
1641717,Cason,Wallace,Cason Wallace,OKC
1631119,Jaylin,Williams,Jaylin Williams,OKC
1631096,Chet,Holmgren,Chet Holmgren,OKC
1630598,Aaron,Wiggins,Aaron Wiggins,OKC
1629652,Luguentz,Dort,Luguentz Dort,OKC
1628983,Shai,Gilgeous-Alexander,Shai Gilgeous-Alexander,OKC
1627936,Alex,Caruso,Alex Caruso,OKC
1642263,Reed,Sheppard,Reed Sheppard,HOU
1641708,Amen,Thompson,Amen Thompson,HOU
1631095,Jabari,Smith Jr.,Jabari Smith Jr.,HOU
1630578,Alperen,Sengun,Alperen Sengun,HOU
1629006,Josh,Okogie,Josh Okogie,HOU
203991,Clint,Capela,Clint Capela,HOU
203500,Steven,Adams,Steven Adams,HOU
201142,Kevin,Durant,Kevin Durant,HOU
1631222,Jake,LaRavia,Jake LaRavia,LAL
1627741,Buddy,Hield,Buddy Hield,GSW
1629637,Jaxson,Hayes,Jaxson Hayes,LAL
202710,Jimmy,Butler III,Jimmy Butler III,GSW
203110,Draymond,Green,Draymond Green,GSW
1629216,Gabe,Vincent,Gabe Vincent,LAL
1630228,Jonathan,Kuminga,Jonathan Kuminga,GSW
1629029,Luka,Dončić,Luka Dončić,LAL
201143,Al,Horford,Al Horford,GSW
1642349,Ajay,Mitchell,Ajay Mitchell,OKC
1629060,Rui,Hachimura,Rui Hachimura,LAL
1630611,Gui,Santos,Gui Santos,GSW
1642954,Will,Richard,Will Richard,GSW
1627780,Gary,Payton II,Gary Payton II,GSW
1631106,Tari,Eason,Tari Eason,HOU
1641764,Brandin,Podziemski,Brandin Podziemski,GSW
1629028,Deandre,Ayton,Deandre Ayton,LAL
1629020,Jarred,Vanderbilt,Jarred Vanderbilt,LAL
1630559,Austin,Reaves,Austin Reaves,LAL
201939,Stephen,Curry,Stephen Curry,GSW
203935,Marcus,Smart,Marcus Smart,LAL
1642366,Quinten,Post,Quinten Post,GSW
1628392,Isaiah,Hartenstein,Isaiah Hartenstein,OKC
1642883,Sion,James,Sion James,CHA
1642851,Kon,Knueppel,Kon Knueppel,CHA
1642275,Tidjane,Salaün,Tidjane Salaün,CHA
1641750,Ryan,Kalkbrenner,Ryan Kalkbrenner,CHA
1631217,Moussa,Diabaté,Moussa Diabaté,CHA
1630544,Tre,Mann,Tre Mann,CHA
1629012,Collin,Sexton,Collin Sexton,CHA
1628970,Miles,Bridges,Miles Bridges,CHA
1641783,Tristan,da Silva,Tristan da Silva,ORL
1641710,Anthony,Black,Anthony Black,ORL
1631094,Paolo,Banchero,Paolo Banchero,ORL
1630591,Jalen,Suggs,Jalen Suggs,ORL
1630532,Franz,Wagner,Franz Wagner,ORL
1629048,Goga,Bitadze,Goga Bitadze,ORL
1628976,Wendell,Carter Jr.,Wendell Carter Jr.,ORL
1628371,Jonathan,Isaac,Jonathan Isaac,ORL
1626145,Tyus,Jones,Tyus Jones,ORL
1642278,Tyler,Kolek,Tyler Kolek,NYK
1641998,Trey,Jemison III,Trey Jemison III,NYK
1630574,Ariel,Hukporti,Ariel Hukporti,NYK
1630540,Miles,McBride,Miles McBride,NYK
1629013,Landry,Shamet,Landry Shamet,NYK
1628973,Jalen,Brunson,Jalen Brunson,NYK
1628969,Mikal,Bridges,Mikal Bridges,NYK
1628384,OG,Anunoby,OG Anunoby,NYK
1627824,Guerschon,Yabusele,Guerschon Yabusele,NYK
1626157,Karl-Anthony,Towns,Karl-Anthony Towns,NYK
203903,Jordan,Clarkson,Jordan Clarkson,NYK
1642962,Drake,Powell,Drake Powell,BKN
1642879,Ben,Saraf,Ben Saraf,BKN
1642856,Egor,Dëmin,Egor Dëmin,BKN
1642849,Nolan,Traore,Nolan Traore,BKN
1641730,Noah,Clowney,Noah Clowney,BKN
1631213,Tyrese,Martin,Tyrese Martin,BKN
1630592,Jalen,Wilson,Jalen Wilson,BKN
1630560,Cam,Thomas,Cam Thomas,BKN
1630549,Day'Ron,Sharpe,Day'Ron Sharpe,BKN
1630533,Ziaire,Williams,Ziaire Williams,BKN
1629651,Nic,Claxton,Nic Claxton,BKN
1629611,Terance,Mann,Terance Mann,BKN
1629008,Michael,Porter Jr.,Michael Porter Jr.,BKN
1642276,Kel'el,Ware,Kel'el Ware,MIA
1641796,Pelle,Larsson,Pelle Larsson,MIA
1631323,Simone,Fontecchio,Simone Fontecchio,MIA
1631170,Jaime,Jaquez Jr.,Jaime Jaquez Jr.,MIA
1631107,Nikola,Jović,Nikola Jović,MIA
1630696,Dru,Smith,Dru Smith,MIA
1630558,Davion,Mitchell,Davion Mitchell,MIA
1628389,Bam,Adebayo,Bam Adebayo,MIA
1626181,Norman,Powell,Norman Powell,MIA
203952,Andrew,Wiggins,Andrew Wiggins,MIA
1642878,Tyrese,Proctor,Tyrese Proctor,CLE
1642281,Jaylon,Tyson,Jaylon Tyson,CLE
1641854,Craig,Porter Jr.,Craig Porter Jr.,CLE
