id,full_name,is_active,last_name,first_name
1630173,Precious Achiuwa,True,Achiuwa,Precious
203500,Steven Adams,True,Adams,Steven
1628389,Bam Adebayo,True,Adebayo,Bam
1630534,Ochai Agbaji,True,Agbaji,Ochai
1630583,Santi Aldama,True,Aldama,Santi
1641725,Trey Alexander,True,Alexander,Trey
1629638,Nickeil Alexander-Walker,True,Alexander-Walker,Nickeil
1628960,Grayson Allen,True,Allen,Grayson
1628386,Jarrett Allen,True,Allen,Jarrett
1630631,Jose Alvarado,True,Alvarado,Jose
203937,Kyle Anderson,True,Anderson,Kyle
1630828,Alex Antetokounmpo,True,Antetokounmpo,Alex
203507,Giannis Antetokounmpo,True,Antetokounmpo,Giannis
203648,Thanasis Antetokounmpo,True,Antetokounmpo,Thanasis
1630175,Cole Anthony,True,Anthony,Cole
1628384,OG Anunoby,True,Anunoby,OG
1630166,Deni Avdija,True,Avdija,Deni
1629028,Deandre Ayton,True,Ayton,Deandre
1628963,Marvin Bagley III,True,Bagley III,Marvin
1642846,Ace Bailey,True,Bailey,Ace
1631116,Patrick Baldwin Jr.,True,Baldwin Jr.,Patrick
1630163,LaMelo Ball,True,Ball,LaMelo
1628366,Lonzo Ball,False,Ball,Lonzo
1628964,Mo Bamba,False,Bamba,Mo
1631094,Paolo Banchero,True,Banchero,Paolo
1630217,Desmond Bane,True,Bane,Desmond
1630625,Dalano Banton,True,Banton,Dalano
1631230,Dominick Barlow,True,Barlow,Dominick
203084,Harrison Barnes,True,Barnes,Harrison
1630567,Scottie Barnes,True,Barnes,Scottie
1642964,Brooks Barnhizer,True,Barnhizer,Brooks
1629628,RJ Barrett,True,Barrett,RJ
1629646,Charles Bassey,False,Bassey,Charles
1642926,Tamar Bates,True,Bates,Tamar
1642419,Jamison Battle,True,Battle,Jamison
201587,Nicolas Batum,True,Batum,Nicolas
203078,Bradley Beal,True,Beal,Bradley
1630699,MarJon Beauchamp,True,Beauchamp,MarJon
1642866,Joan Beringer,True,Beringer,Joan
1631262,Jules Bernard,True,Bernard,Jules
1630180,Saddiq Bey,True,Bey,Saddiq
1629048,Goga Bitadze,True,Bitadze,Goga
202687,Bismack Biyombo,True,Biyombo,Bismack
1641710,Anthony Black,True,Black,Anthony
1641778,Leaky Black,True,Black,Leaky
1631205,Buddy Boeheim,True,Boeheim,Buddy
203992,Bogdan Bogdanović,True,Bogdanović,Bogdan
1641737,Adem Bona,True,Bona,Adem
1626164,Devin Booker,True,Booker,Devin
1628449,Chris Boucher,False,Boucher,Chris
1631123,Jamaree Bouyea,True,Bouyea,Jamaree
1628396,Tony Bradley,False,Bradley,Tony
1631103,Malaki Branham,False,Branham,Malaki
1631128,Christian Braun,True,Braun,Christian
1642886,Koby Brea,True,Brea,Koby
1628969,Mikal Bridges,True,Bridges,Mikal
1628970,Miles Bridges,True,Bridges,Miles
1628415,Dillon Brooks,True,Brooks,Dillon
1641780,Johni Broome,True,Broome,Johni
1628971,Bruce Brown,True,Brown,Bruce
1642468,Darius Brown,True,Brown,Darius
1627759,Jaylen Brown,True,Brown,Jaylen
1641738,Kobe Brown,True,Brown,Kobe
1628973,Jalen Brunson,True,Brunson,Jalen
1642868,Carter Bryant,True,Bryant,Carter
1628418,Thomas Bryant,True,Bryant,Thomas
1641723,Kobe Bufkin,True,Bufkin,Kobe
202710,Jimmy Butler III,True,Butler III,Jimmy
